Postcode,Borough,Neighbourhood,Latitude,Longitude
M3A,North York,Parkwoods,43.7708175,-79.4132998
M4A,North York,Victoria Village,43.7708175,-79.4132998
M5A,Downtown Toronto,"Harbourfront, Regent Park",43.654027,-79.3802003
M6A,North York,"Lawrence Heights, Lawrence Manor",43.7708175,-79.4132998
M7A,Queen's Park,Scarborough,43.6599803,-79.3903686
M9A,Etobicoke,Islington Avenue,43.67145915,-79.5524920661167
M1B,Scarborough,"Rouge, Malvern",54.2820009,-0.4011868
M3B,North York,Don Mills North,43.7708175,-79.4132998
M4B,East York,"Woodbine Gardens, Parkview Hill",43.6913391,-79.3278212
M5B,Downtown Toronto,"Ryerson, Garden District",43.654027,-79.3802003
M6B,North York,Glencairn,43.7708175,-79.4132998
M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.67145915,-79.5524920661167
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",54.2820009,-0.4011868
M3C,North York,"Flemingdon Park, Don Mills South",43.7708175,-79.4132998
M4C,East York,Woodbine Heights,43.6913391,-79.3278212
M5C,Downtown Toronto,St. James Town,43.654027,-79.3802003
M6C,York,Humewood-Cedarvale,53.9590555,-1.0815361
M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.67145915,-79.5524920661167
M1E,Scarborough,"Guildwood, Morningside, West Hill",54.2820009,-0.4011868
M4E,East Toronto,The Beaches,43.653963,-79.387207
M5E,Downtown Toronto,Berczy Park,43.654027,-79.3802003
M6E,York,Caledonia-Fairbanks,53.9590555,-1.0815361
M1G,Scarborough,Woburn,54.2820009,-0.4011868
M4G,East York,Leaside,43.6913391,-79.3278212
M5G,Downtown Toronto,Central Bay Street,43.654027,-79.3802003
M6G,Downtown Toronto,Christie,43.654027,-79.3802003
M1H,Scarborough,Cedarbrae,54.2820009,-0.4011868
M2H,North York,Hillcrest Village,43.7708175,-79.4132998
M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.7708175,-79.4132998
M4H,East York,Thorncliffe Park,43.6913391,-79.3278212
M5H,Downtown Toronto,"Adelaide, King, Richmond",43.654027,-79.3802003
M6H,West Toronto,"Dovercourt Village, Dufferin",43.653963,-79.387207
M1J,Scarborough,Scarborough Village,54.2820009,-0.4011868
M2J,North York,"Fairview, Henry Farm, Oriole",43.7708175,-79.4132998
M3J,North York,"Northwood Park, York University",43.7708175,-79.4132998
M4J,East York,East Toronto,43.6913391,-79.3278212
M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",43.654027,-79.3802003
M6J,West Toronto,"Little Portugal, Trinity",43.653963,-79.387207
M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",54.2820009,-0.4011868
M2K,North York,Bayview Village,43.7708175,-79.4132998
M3K,North York,"CFB Toronto, Downsview East",43.7708175,-79.4132998
M4K,East Toronto,"The Danforth West, Riverdale",43.653963,-79.387207
M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre",43.654027,-79.3802003
M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.653963,-79.387207
M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",54.2820009,-0.4011868
M2L,North York,"Silver Hills, York Mills",43.7708175,-79.4132998
M3L,North York,Downsview West,43.7708175,-79.4132998
M4L,East Toronto,"The Beaches West, India Bazaar",43.653963,-79.387207
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.654027,-79.3802003
M6L,North York,"Downsview, North Park, Upwood Park",43.7708175,-79.4132998
M9L,North York,Humber Summit,43.7708175,-79.4132998
M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",54.2820009,-0.4011868
M2M,North York,"Newtonbrook, Willowdale",43.7708175,-79.4132998
M3M,North York,Downsview Central,43.7708175,-79.4132998
M4M,East Toronto,Studio District,43.653963,-79.387207
M5M,North York,"Bedford Park, Lawrence Manor East",43.7708175,-79.4132998
M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",53.9590555,-1.0815361
M9M,North York,"Emery, Humberlea",43.7708175,-79.4132998
M1N,Scarborough,"Birch Cliff, Cliffside West",54.2820009,-0.4011868
M2N,North York,Willowdale South,43.7708175,-79.4132998
M3N,North York,Downsview Northwest,43.7708175,-79.4132998
M4N,Central Toronto,Lawrence Park,43.653963,-79.387207
M5N,Central Toronto,Roselawn,43.653963,-79.387207
M6N,York,"The Junction North, Runnymede",53.9590555,-1.0815361
M9N,York,Weston,53.9590555,-1.0815361
M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",54.2820009,-0.4011868
M2P,North York,York Mills West,43.7708175,-79.4132998
M4P,Central Toronto,Davisville North,43.653963,-79.387207
M5P,Central Toronto,"Forest Hill North, Forest Hill West",43.653963,-79.387207
M6P,West Toronto,"High Park, The Junction South",43.653963,-79.387207
M9P,Etobicoke,Westmount,43.67145915,-79.5524920661167
M1R,Scarborough,"Maryvale, Wexford",54.2820009,-0.4011868
M2R,North York,Willowdale West,43.7708175,-79.4132998
M4R,Central Toronto,North Toronto West,43.653963,-79.387207
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.653963,-79.387207
M6R,West Toronto,"Parkdale, Roncesvalles",43.653963,-79.387207
M7R,Mississauga,Canada Post Gateway Processing Centre,43.590338,-79.645729
M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.67145915,-79.5524920661167
M1S,Scarborough,Agincourt,54.2820009,-0.4011868
M4S,Central Toronto,Davisville,43.653963,-79.387207
M5S,Downtown Toronto,"Harbord, University of Toronto",43.654027,-79.3802003
M6S,West Toronto,"Runnymede, Swansea",43.653963,-79.387207
M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",54.2820009,-0.4011868
M4T,Central Toronto,"Moore Park, Summerhill East",43.653963,-79.387207
M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.654027,-79.3802003
M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",54.2820009,-0.4011868
M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.653963,-79.387207
M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.654027,-79.3802003
M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",43.67145915,-79.5524920661167
M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.67145915,-79.5524920661167
M1W,Scarborough,L'Amoreaux West,54.2820009,-0.4011868
M4W,Downtown Toronto,Rosedale,43.654027,-79.3802003
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.654027,-79.3802003
M8W,Etobicoke,"Alderwood, Long Branch",43.67145915,-79.5524920661167
M9W,Etobicoke,Northwest,43.67145915,-79.5524920661167
M1X,Scarborough,Upper Rouge,54.2820009,-0.4011868
M4X,Downtown Toronto,"Cabbagetown, St. James Town",43.654027,-79.3802003
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.654027,-79.3802003
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.67145915,-79.5524920661167
M4Y,Downtown Toronto,Church and Wellesley,43.654027,-79.3802003
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.653963,-79.387207
M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.67145915,-79.5524920661167
